,session_date_percentile,Summary_Length,cost,Hot_Topic,Made_Law,Starting_Committee,Revised_SoP,Amended,Started_House_Or_Senate
140,2,Medium,Medium,0,True,12,False,False,H
141,2,Medium,Medium,0,False,12,False,False,H
142,2,Medium,Medium,1,False,2,False,False,H
143,2,Medium,Medium,0,True,2,False,False,H
144,2,Medium,Medium,0,False,2,False,True,H
145,2,Medium,Medium,0,False,2,False,False,H
146,2,Medium,Medium,0,False,2,False,False,H
147,2,Medium,High,0,False,2,False,False,H
148,2,Medium,Medium,0,True,2,False,True,H
149,2,Medium,Medium,0,True,4,True,False,H
150,2,Medium,Medium,0,True,7,False,False,H
151,2,Medium,Medium,0,False,7,False,False,H
152,2,Low,Medium,1,True,4,False,False,H
153,2,Medium,Medium,1,False,14,False,False,H
154,2,Medium,Medium,0,True,15,False,False,H
155,2,Medium,Medium,0,True,15,False,False,H
156,2,Medium,Medium,1,True,15,False,False,H
157,2,Medium,Medium,0,True,18,False,True,H
158,2,Medium,Medium,0,True,1,False,False,H
159,2,Medium,Medium,0,True,15,False,False,H
160,2,Medium,Medium,0,False,15,False,False,H
161,2,Medium,Medium,0,False,15,True,False,H
162,2,Medium,Medium,0,False,14,False,False,H
163,2,Medium,Medium,0,True,14,False,False,H
164,2,Medium,Medium,0,True,14,False,False,H
165,2,Medium,Medium,0,False,15,False,False,H
166,2,Medium,Medium,0,True,15,False,False,H
167,2,Medium,Medium,0,True,15,False,False,H
168,2,Medium,Medium,0,True,15,True,True,H
169,2,Medium,Medium,0,False,15,False,False,H
170,2,Medium,Medium,1,True,15,False,False,H
171,2,Medium,Medium,0,False,7,False,False,H
172,2,Medium,Medium,1,True,15,False,False,H
173,2,Medium,Medium,0,True,1,False,False,H
174,2,Medium,Medium,0,False,18,False,False,H
175,2,Medium,Medium,0,True,18,False,False,H
176,2,Medium,Medium,0,True,18,False,False,H
177,2,Medium,Medium,0,False,18,False,False,H
178,2,Medium,Medium,0,True,18,True,True,H
179,2,Medium,Medium,0,True,7,False,False,H
180,2,Low,Medium,1,True,7,False,False,H
181,2,Medium,Medium,0,True,7,False,False,H
182,2,Medium,High,0,True,14,True,False,H
183,2,Medium,Medium,0,True,14,False,False,H
184,3,Medium,Medium,1,False,4,True,False,H
185,3,Medium,Medium,0,True,1,False,False,H
186,3,Medium,Medium,0,True,1,False,False,H
187,3,Low,Medium,0,False,18,False,False,H
188,3,Medium,Medium,0,True,18,False,True,H
189,3,Medium,Medium,0,False,15,False,False,H
190,3,Medium,Medium,0,True,15,False,False,H
191,3,Medium,Medium,0,True,18,False,False,H
192,3,Medium,Medium,0,True,14,False,True,H
193,3,Medium,Medium,0,True,4,True,True,H
194,3,Medium,Medium,0,False,4,False,False,H
195,3,Medium,Medium,0,False,7,False,False,H
196,3,Medium,Medium,0,False,18,True,False,H
197,3,Medium,Medium,1,False,18,True,False,H
198,3,Medium,Medium,0,True,15,False,True,H
199,3,Medium,Medium,0,True,1,False,False,H
200,3,Medium,Medium,0,True,14,False,False,H
201,3,Medium,Medium,0,False,14,False,True,H
202,3,Medium,Medium,0,False,15,False,False,H
